url,name
https://comptroller.defense.gov/Portals/45/documents/fmr/intro.pdf,DoD Financial Management Regulation
https://media.defense.gov/2022/Jan/04/2002917147/-1/-1/0/JTR.PDF,Joint Travel Regulations
https://www.travel.dod.mil/Portals/119/Documents/JTR/Supplements/AP-ILP-01.pdf,Integrated Lodging Program
https://www.travel.dod.mil/Portals/119/Documents/JTR/Supplements/AP-PQ-01.pdf,Pet information
https://www.travel.dod.mil/Portals/119/Documents/JTR/Supplements/Travel_Purpose_Identifiers_and_Transportation_Decision_Support_Tools.pdf,Travel Purpose Identifiers and Transportation (Premium Travel) Decision Support Tools
https://www.travel.dod.mil/Portals/119/Documents/JTR/Supplements/Restricted_Airfares_Checklist.pdf,Restricted Airfares checklist
https://www.travel.dod.mil/Portals/119/Documents/JTR/Supplements/Authorized_RR_Locations_and_Destinations.pdf,Authorized RR locations
https://www.travel.dod.mil/Portals/119/Documents/JTR/Supplements/AP-HHG-01.pdf,Household goods locations and weight allowances
https://www.travel.dod.mil/Portals/119/Documents/JTR/Supplements/Administrative_Household_Goods_(HHG)_Weight_Allowance_Locations.pdf,Administrative household goods weight allowance
https://www.travel.dod.mil/Portals/119/Documents/JTR/Supplements/Authorized_Consumable_Goods_Allowance_Locations.pdf,Authorized Consumable Goods allowances
https://media.defense.gov/2022/May/11/2002995246/-1/-1/0/DoD_DTS_Best_Practices_Guide.PDF,DTS Best Practices
https://media.defense.gov/2022/May/11/2002995240/-1/-1/0/DTS_GUIDE_3_VOUCHER.PDF,Vouchers Guide
https://media.defense.gov/2022/May/11/2002995242/-1/-1/0/DTS_Guide_1_Overview.PDF,Getting started
https://media.defense.gov/2022/May/11/2002995241/-1/-1/0/DTS_Guide_2_Authorizations.PDF,Authorizations
https://media.defense.gov/2022/May/11/2002995239/-1/-1/0/DTS_Guide_4_Local_Vouchers.PDF,Local Vouchers
https://media.defense.gov/2022/May/11/2002995238/-1/-1/0/DTS_GUIDE_5_GROUP_AUTHORIZATION.PDF,Group Authorizations
https://media.defense.gov/2022/Jul/18/2003037082/-1/-1/0/DTS_Reservation_Process_Guide.PDF,Reservation Process
https://home.cards.citidirect.com/CommercialCard/Cards.html?classic=2,CitiManager for APCs
